top - 21:37:33 up 2 days,  2:31,  2 users,  load average: 1,11, 1,56, 1,43
Tasks: 381 total,   1 running, 380 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5,6 us,  3,5 sy,  0,0 ni, 90,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15800,3 total,    640,3 free,   8206,7 used,   6953,3 buff/cache
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6649,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3781 monika    20   0   32,2g  26784  18184 S   0,0   0,2   0:00.06 Discord
   3782 monika    20   0   32,2g  26732  18136 S   0,0   0,2   0:00.06 Discord
   3783 monika    20   0  345148  26672  19156 S   0,0   0,2   0:03.32 xdg-des+
   3897 monika    20   0   32,0g   2664   2316 S   0,0   0,0   0:00.03 chrome_+
   3945 monika    20   0   32,7g 114256  69224 S   0,0   0,7   0:13.06 Discord
   3957 monika    20   0   32,3g  42660  29160 S   0,0   0,3   0:21.24 Discord
   4095 monika    20   0  169428  10200   5972 S   0,0   0,1   0:00.13 gvfsd-m+
   4176 monika    20   0 1966408  24672  14060 S   0,0   0,2   1:55.24 MathWor+
   5041 monika    20   0 1413,6g 277944  53976 S   0,0   1,7  13:28.75 Discord
   5129 monika    20   0   32,5g  33060  23480 S   0,0   0,2   0:04.99 Discord
   5469 monika    20   0   11044   1984   1884 S   0,0   0,0   0:00.00 cat
   5470 monika    20   0   11044   1988   1884 S   0,0   0,0   0:00.01 cat
   5472 monika    20   0   48,0g   2904   2520 S   0,0   0,0   0:00.03 chrome_+
   5474 monika    20   0   48,0g   2548   2220 S   0,0   0,0   0:00.00 chrome_+
   5480 monika    20   0   48,6g  65708  51292 S   0,0   0,4   0:00.05 chrome
   5481 monika    20   0   48,6g  65592  51268 S   0,0   0,4   0:00.04 chrome
   5483 monika    20   0   48,6g  18848   4412 S   0,0   0,1   0:07.14 chrome
   5508 monika    20   0   49,0g 208396 178864 S   0,0   1,3 310:55.17 chrome
   5510 monika    20   0   48,4g 155672 109408 S   0,0   1,0  19:07.52 chrome
   5535 monika    20   0   48,7g  72732  45380 S   0,0   0,4   1:03.79 chrome
   5614 monika    20   0 1392,4g 201136 151020 S   0,0   1,2   3:38.13 chrome
   5697 monika    20   0 1395,7g 423868 152364 S   0,0   2,6  13:38.27 chrome
   5760 monika    20   0 1392,4g 207296 139604 S   0,0   1,3  11:55.78 chrome
   5813 monika    20   0 1392,4g 116328  93964 S   0,0   0,7   0:01.87 chrome
   5864 monika    20   0 1392,4g 134964 104368 S   0,0   0,8   0:02.06 chrome
   5915 monika    20   0 1392,4g 121288  98992 S   0,0   0,7   1:33.85 chrome
   5969 monika    20   0   48,7g  90256  74616 S   0,0   0,6  10:38.42 chrome
   6110 monika    20   0  541888  39488  30020 S   0,0   0,2   0:02.85 update-+
  10870 monika    20   0 1123,3g  99120  67800 S   0,0   0,6   1:52.68 obsidian
  10917 monika    20   0   32,5g  29164  20440 S   0,0   0,2   0:00.05 obsidian
  10918 monika    20   0   32,5g  29252  20592 S   0,0   0,2   0:00.05 obsidian
  10954 monika    20   0   33,0g 139876  80320 S   0,0   0,9   3:10.19 obsidian
  10964 monika    20   0   32,3g  41080  31020 S   0,0   0,3   0:06.71 obsidian
  10980 monika    20   0 1135,7g 375320  74976 S   0,0   2,3  14:11.08 obsidian
  11173 monika    20   0 1394,1g 422748 172448 S   0,0   2,6   5:50.22 chrome
  28817 monika    20   0 1394,1g 320852 161816 S   0,0   2,0   3:17.35 chrome
  32096 root      20   0   76560  14420  11452 S   0,0   0,1   0:04.91 cupsd
  32098 www-data  20   0  240196  15400   5064 S   0,0   0,1   0:00.05 apache2
  32099 www-data  20   0  240196  15400   5064 S   0,0   0,1   0:00.05 apache2
  32100 www-data  20   0  240196  15400   5064 S   0,0   0,1   0:00.05 apache2
  32102 www-data  20   0  240196  15400   5064 S   0,0   0,1   0:00.06 apache2
  32103 www-data  20   0  240196  15232   4988 S   0,0   0,1   0:00.06 apache2
  32106 root      20   0  172260  11256   9500 S   0,0   0,1   0:00.25 cups-br+
  61777 monika    20   0 1392,4g 452020 148352 S   0,0   2,8   6:05.57 chrome
 114738 root      20   0   12696   3076   1756 S   0,0   0,0   0:00.83 mount.n+
 159612 monika    20   0 1392,4g 135052 104172 S   0,0   0,8   0:01.17 chrome
 161450 monika    20   0 1394,1g 446344 136016 S   0,0   2,8   9:53.64 chrome
 164704 root      20   0    3212   1996   1884 S   0,0   0,0   0:00.00 sleep
 166013 root      20   0       0      0      0 I   0,0   0,0   0:01.19 kworker+
 166864 monika    20   0 1392,4g 356612 146184 S   0,0   2,2   0:39.29 chrome
 166887 monika    20   0 1394,0g 133488 102356 S   0,0   0,8   0:00.93 chrome
 166939 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
 167645 root      20   0       0      0      0 I   0,0   0,0   0:00.97 kworker+
